Full Team Name,City Name,Team Name,abbreviation
Anaheim Ducks,Anaheim,Ducks,ANA
Arizona Coyotes,Arizona,Coyotes,ARI
Boston Bruins,Boston,Bruins,BOS
Buffalo Sabres,Buffalo,Sabres,BUF
Calgary Flames,Calgary,Flames,CGY
Carolina Hurricanes,Carolina,Hurricanes,CAR
Chicago Blackhawks,Chicago,Blackhawks,CHI
Colorado Avalanche,Colorado,Avalanche,COL
Columbus Blue Jackets,Columbus,Blue Jackets,CBL
Dallas Stars,Dallas,Stars,DAL
Detroit Red Wings,Detroit,Red Wings,DET
Edmonton Oilers,Edmonton,Oilers,EDM
Florida Panthers,Florida,Panthers,FLA
Los Angeles Kings,Los Angeles,Kings,LAK
Minnesota Wild,Minnesota,Wild,MIN
Montreal Canadiens,Montreal,Canadiens,MTL
Nashville Predators,Nashville,Predators,NSH
New Jersey Devils,New Jersey,Devils,NJD
New York Islanders,New York,Islanders,NYI
New York Rangers,New York,Rangers,NYR
Ottawa Senators,Ottawa,Senators,OTT
Philadelphia Flyers,Philadelphia,Flyers,PHI
Pittsburgh Penguins,Pittsburgh,Penguins,PIT
San Jose Sharks,San Jose,Sharks,SJS
Seattle Kraken,Seattle,Kraken,SEA
St. Louis Blues,St. Louis,Blues,STL
Tampa Bay Lightning,Tampa Bay,Lightning,TBL
Toronto Maple Leafs,Toronto,Maple Leafs,TOR
Vancouver Canucks,Vancouver,Canucks,VAN
Vegas Golden Knights,Vegas,Golden Knights,VGK
Washington Capitals,Washington,Capitals,WPG
Winnipeg Jets,Winnipeg,Jets,WSH
